function,module,previous_name,signature,description
oz.AboutDatesλ,Dates,nabla.d.Aboutλ,AboutDatesλ,Displays this module's repository URL and function list
oz.AboutEssentialsλ,Essentials,nabla.e.Aboutλ,AboutEssentialsλ,Displays this module's repository URL and function list
oz.AboutFinancialλ,Financial,nabla.f.Aboutλ,AboutFinancialλ,Displays this module's repository URL and function list
oz.AboutRatiosλ,Ratios,nabla.r.Aboutλ,AboutRatiosλ,Displays this module's repository URL and function list
oz.AboutUtilitiesλ,Utilities,nabla.u.Aboutλ,AboutUtilitiesλ,Displays this module's repository URL and function list
oz.Allocateλ,Financial,nabla.f.Allocateλ,"Allocateλ(Amounts, [FromInterval], [ToInterval])",Divide one or more amounts equally across smaller periods
oz.AmortiseBλ,Debt,nabla.debt.Amortiseλ,"AmortiseBλ(Principal, APR, Term, ModelPeriods, [StartPeriod], [MonthsPerPeriod])",Creates an amortisation schedule for a debt/loan across a model's periods
oz.Amortiseλ,Financial,nabla.f.Amortiseλ,"Amortiseλ( Principals, APRs, Terms, StartDates, [Timeline])",Creates a corkscrew amortisation schedule
oz.AmortiseλDV,Financial,nabla.f.AmortiseλDV,AmortiseλDV,Provides extended data validation of arguments for Amortiseλ()
oz.AnnualRateλ,Financial,,"AnnualRateλ(PeriodRate, [PeriodsPerYear])","Converts a rate per period to the effective annual rate, the inverse of PeriodRateλ"
oz.AssetTurnoverRatioλ,Ratios,nabla.r.AssetTurnoverRatioλ,"AssetTurnoverRatioλ( NetSales, TotalAssets)",Measures the value of a company's sales or revenues relative to the value of its assets. (Net Sales/Total Assets)
oz.AvgColsUλ,Utilities,nabla.u.AvgColsλ,AvgColsUλ( Array),Get the average for each Column
oz.AvgColsλ,Essentials,nabla.e.AvgColsλ,AvgColsλ( Array),Get the average for each Column
oz.AvgRowsUλ,Utilities,nabla.u.AvgRowsλ,AvgRowsUλ( Array),Get the average for each row
oz.AvgRowsλ,Essentials,nabla.e.AvgRowsλ,AvgRowsλ( Array),Get the average for each row
oz.BVPSλ,Ratios,nabla.r.BVPSλ,"BVPSλ( ShareholdersEquity, PreferredStock, AverageSharesOutstanding )",Book value per share ratio is an indicator of the value of a company’s stock (Shareholders' Equity - Preferred Stock)/Average Shares Outstanding)
oz.CAPERatioλ,Ratios,nabla.r.CAPERatioλ,"CAPERatioλ( SharePrice, TenYearAverageEarningsInflationAdjusted )",CAPE Ratio is a valuation measure that uses real earnings per share (EPS) over a 10-year period to smooth out fluctuations in corporate profits that occur over different periods of a business cycle (aka Shiller PE Ratio) (Share Price/Ten Year Average Earn
oz.CashFlowMarginλ,Ratios,nabla.r.CashFlowMarginλ,"CashFlowMarginλ( CashFlowFromOperatingActivities, Revenue)",Cash Flow Margin is a trusted metric of a company’s profitability and efficiency and its earnings quality (Cash Flow From Operating Activities/Revenue).
oz.CashRatioλ,Ratios,nabla.r.CashRatioλ,"CashRatioλ( Cash, Liabilities)",Evaluates ability to repay short-term debt w/cash or near-cash resources (Cash and Cash Equivalents / Current Liabilities)
oz.CorkScrewReversalλ,Financial,nabla.f.CorkScrewReversalλ,"CorkScrewReversalλ( Opening, ReversalFlags, Flow1, [Flow2], [Flow3], [Flow4])",Create a corkscrew where the opening balance is reversed in the next period based on a timing parameter.
oz.Corkscrewλ,Financial,nabla.f.Corkscrewλ,"Corkscrewλ( Opening, Flow1, [Flow2], [Flow3], [Flow4])",Create a corkscrew section that sums the opening balance and up to 4 independent flows.
oz.CorkscrewλDV,Financial,nabla.f.CorkscrewλDV,CorkscrewλDV,Provides extended data validation of arguments for Corkscrewλ.
oz.CountAColsUλ,Utilities,nabla.u.CountAColsλ,CountAColsUλ( Array ),Count everything in each column
oz.CountAColsλ,Essentials,nabla.e.CountAColsλ,CountAColsλ( Array ),Count everything in each column
oz.CountARowsUλ,Utilities,nabla.u.CountARowsλ,CountARowsUλ( Array),Count everything in each row
oz.CountARowsλ,Essentials,nabla.e.CountARowsλ,CountARowsλ( Array),Count everything in each row
oz.CountCUλ,Utilities,nabla.u.CountCλ,"CountCUλ( Text, Characters)",Count occurrences of character(s) in a string
oz.CountColsUλ,Utilities,nabla.u.CountColsλ,CountColsUλ( Array),Count numbers in each column
oz.CountColsλ,Essentials,nabla.e.CountColsλ,CountColsλ( Array),Count numbers in each column
oz.CountCλ,Essentials,nabla.e.CountCλ,"CountCλ( Text, Characters)",Count occurrences of character(s) in a string
oz.CountDOWλ,Dates,nabla.d.CountDOWλ,"CountDOWλ(Starts, Ends, DayOfWeek)",Count instances of a specific day of the week between two dates.
oz.CountRowsUλ,Utilities,nabla.u.CountRowsλ,CountRowsUλ( Array),Count numbers in each row
oz.CountRowsλ,Essentials,nabla.e.CountRowsλ,CountRowsλ( Array),Count numbers in each row
oz.Cumulativeλ,Financial,nabla.f.Cumulativeλ,"Cumulativeλ( Totals, [OpeningBalance])",Creates a row or column of cumulative totals from a total row or column
oz.CurrentRatioλ,Ratios,nabla.r.CurrentRatioλ,"CurrentRatioλ( Assets, Liabilities)",Measures a company’s ability to pay short-term obligations (Current Assets/Liabilities)
oz.DBλ,Financial,nabla.f.DBλ,"DBλ(Cost, Salvage, Life, [Months])",Fixed declining balance depreciation method for one asset or asset class.
oz.DDBλ,Financial,nabla.f.DDBλ,"DDBλ(Cost, Salvage, Life, [Factor])",Double-declining balance depreciation method for one asset or asset class.
oz.DPRλ,Ratios,nabla.r.DPRλ,"DPRλ( DividendsPaid, NetIncome )",Dividend Payout Ratio is the percentage of earnings paid to shareholders via dividends (DividendsPaid/NetIncome)
oz.DSCRλ,Ratios,nabla.r.DSCRλ,"DSCRλ( NetOperatingIncome, TotalDebtService)",Debt service coverage Ratio measures a firm’s available cash flow to pay its current debt obligations(Net Operating Income/Total Debt Service)
oz.DSIλ,Ratios,nabla.r.DSIλ,"DSIλ( AverageInventory, CostOfGoodsSold)",Days Sales in Inventory Ratio (aka Average age of inventory indicates the average time in days that a company takes to turn its inventory (Average Inventory/Annual Cost of Goods Sold x 365)
oz.DateDifλ,Dates,,"DateDifλ(StartDate, EndDate, [Unit])","Whole years, months or days between two dates, and the remainders DATEDIF gets wrong"
oz.DayCountRateλ,Financial,,"DayCountRateλ(Timeline, APR, [Convention], [EndDates])","Interest rate for each period of a timeline under a day count convention: 30/360, Actual/360, Actual/365 or Actual/Actual"
oz.DebtRatioλ,Ratios,nabla.r.DebtRatioλ,"DebtRatioλ( TotalDebt, TotalAssets)",Measures the extent of a company’s leverage
oz.DebtSculptFixedλ,Debt,nabla.debt.DebtSculptFixedλ,"DebtSculptFixedλ([OpeningBalance], Debt, CFADS, DSCR, APR, [MonthsPerPeriod])",Creates a debt sculpting schedule where APR and DSCR are fixed for all periods
oz.DebtSculptVariableLRVλ,Debt,nabla.debt.DebtSculptVariableLRVλ,"DebtSculptVariableLRVλ([OpeningBalance], Debt, CFADS, DSCR, APR, [MonthsPerPeriod], [PeriodRates])","Creates a debt sculpting schedule where APR and DSCR are set for each period, with interest charged on the average balance"
oz.DebtSculptVariableλ,Debt,nabla.debt.DebtSculptVariableλ,"DebtSculptVariableλ([OpeningBalance], Debt, CFADS, DSCR, APR, [MonthsPerPeriod], [PeriodRates])",Creates a debt sculpting schedule where APR and DSCR are set for each period
oz.DebtToAssetRatioλ,Ratios,nabla.r.DebtToAssetRatioλ,"DebtToAssetRatioλ( TotalDebt, TotalAssets)",Analysts can compare one company's leverage with that of other companies in the same industry. (Total Debt/Total Assets)
oz.DebtToCapitalRatioλ,Ratios,nabla.r.DebtToCapitalRatioλ,"DebtToCapitalRatioλ( Debt, ShareholdersEquity)",Gives analysts and investors a better idea of a company's financial structure and whether or not the company is a suitable investment (Debt/(Debt + Shareholders' equity)
oz.DebtToEquityRatioλ,Ratios,nabla.r.DebtToEquityRatioλ,"DebtToEquityRatioλ( TotalLiabilities, ShareholdersEquity)",Measures the degree to which a company is financing operations with debt rather than its own resources. (Total Liabilities/Shareholders' Equity)
oz.Depreciateλ,Financial,nabla.f.Depreciateλ,"Depreciateλ(InitialValues, InServiceDates, LifeInYears, Timeline, [SalvageValues], [DisposalDates], [DisposalCosts], [Methods], [Factors])","Create a block of CAPEX, Opening Balance, Depreciation Values, and Book Value for each asset"
oz.DepreciateλDV,Financial,nabla.f.DepreciateλDV,DepreciateλDV,Provides extended data validation of arguments for Depreciateλ
oz.DiminishingValueλ,Financial,nabla.f.DiminishingValueλ,"DiminishingValueλ(Cost, Life)","Diminishing-balance depreciation schedule at 200% of the straight-line rate, writing the residual off in the final period. A modelling schedule, not a tax calculation."
oz.DividendYieldRatioλ,Ratios,nabla.r.DividendYieldRatioλ,"DividendYieldRatioλ( AnnualDividendsPerShare, SharePrice)",Dividend yield ratio shows how much a company pays out in dividends each year relative to its stock price (Annual Dividends Pe rShare/Share Price)
oz.EBITDAMarginλ,Ratios,nabla.r.EBITDAMarginλ,"EBITDAMarginλ( EBITDA, TotalRevenue)",Measures a company's operating profit as a percentage of its revenue (EBITDA/Total Revenue).
oz.EPSλ,Ratios,nabla.r.EPSλ,"EPSλ( NetIncome, PreferredDividends, EndOfPeriodCommonSharesOutstanding)",Earnings per share measures profitability indicating how much profit each outstanding share of common stock has earned (Net Income - Preferred Dividends)/End Of Period Common Shares Outstanding)
oz.EquityMultiplierλ,Ratios,nabla.r.EquityMultiplierλ,"EquityMultiplierλ( TotalAssets, TotalShareholdersEquity)",Measures the portion of a company’s assets financed by shareholders' equity rather than by debt (TotalAssets/TotalShareholdersEquity)
oz.EquityRatioλ,Ratios,nabla.r.EquityRatioλ,"EquityRatioλ( ShareholdersEquity, TotalAssets, IntangibleAssets)",Measures the long-term solvency of a company by comparing its shareholders’ equity to its total assets (Shareholder's Equity/(Total Assets - Intangible Assets)).
oz.FilterContainsλ,Financial,nabla.f.FilterContainsλ,"FilterContainsλ( ArrayToFilter, FilterByArray, FilterByText, [IgnoreCase?] )",Filter an array by another array that contains specific text
oz.FinancialYearλ,Dates,nabla.d.FinancialYearλ,"FinancialYearλ(Dates, [StartMonth])","Labels dates with their Australian financial year, which starts on 1 July"
oz.GSTAddλ,Financial,nabla.f.GSTAddλ,"GSTAddλ(Amounts, [Rate])",Adds GST to one or more GST-exclusive amounts.
oz.GSTExtractλ,Financial,nabla.f.GSTExtractλ,"GSTExtractλ(Amounts, [Rate])",Returns the GST contained in one or more GST-inclusive amounts.
oz.GrossMarginλ,Ratios,nabla.r.GrossMarginλ,"GrossMarginλ( GrossProfit, NetSales)",Shows how much profit a company makes after paying off its Cost of Goods Sold
oz.IRRλ,Financial,nabla.f.IRRλ,"IRRλ( Values, Dates)","Calculates IRR, correcting for when the first investment is not in the first period"
oz.IntOnIntλ,Financial,nabla.f.IntOnIntλ,"IntOnIntλ( Principal, Rate)",Calculate Interest on Interest. Use to determine amount needed to cover debt plus interest on debt
oz.InterestCoverageRatioλ,Ratios,nabla.r.InterestCoverageRatioλ,"InterestCoverageRatioλ( OperatingIncome, InterestExpenses)",Determines how easily a company can pay interest on its outstanding debt (Operating Income/Interest Expenses)
