fbt_year_ending,fbt_rate_percent,type_1_gross_up,type_2_gross_up,source
2027-03-31,47,2.0802,1.8868,ATO FBT rates and thresholds
2026-03-31,47,2.0802,1.8868,ATO FBT rates and thresholds
2025-03-31,47,2.0802,1.8868,ATO FBT rates and thresholds
2024-03-31,47,2.0802,1.8868,ATO FBT rates and thresholds
2023-03-31,47,2.0802,1.8868,ATO FBT rates and thresholds
2022-03-31,47,2.0802,1.8868,ATO FBT historical rates and thresholds
2021-03-31,47,2.0802,1.8868,ATO FBT historical rates and thresholds
2020-03-31,47,2.0802,1.8868,ATO FBT historical rates and thresholds
2019-03-31,47,2.0802,1.8868,ATO FBT historical rates and thresholds
2018-03-31,47,2.0802,1.8868,ATO FBT historical rates and thresholds
